	지점명	아파트명	주소	준공년월	세대	가격	latitude	longitude	s_latitude	s_longitude	distance
45	스타벅스 광주상무DT점	상무SK뷰아파트	광주 서구 마륵복개로 140	2016.01	536.0	"매매가41,500 - 80,000 (만원)
전세가26,500 - 50,000 (만원)"	35.147524	126.8524618	35.1499296	126.8548315	0.34330009565751063
46	스타벅스 광주지산DT점	광주지산휴먼시아아파트	광주 동구 동명로69번길 20	2010.06	375.0	"매매가25,000 - 32,000 (만원)
전세가19,500 - 24,000 (만원)"	35.152842799999995	126.9278086	35.1497144	126.9290755	0.3657697390020459
47	스타벅스 남양주진접DT점	해밀마을반도유보라메이플타운5단지	경기 남양주시 진접읍 해밀예당1로 145	2009.12	873.0	"매매가32,000 - 41,000 (만원)
전세가21,000 - 28,000 (만원)"	37.72009389999999	127.1938822	37.7230756	127.1903572	0.45398770322445964
48	스타벅스 광주산정DT점	영천마을주공10단지아파트	광주 광산구 사암로340번길 30	2003.08	1300.0	"매매가16,800 - 26,000 (만원)
전세가14,000 - 20,000 (만원)"	35.1737511	126.8105744	35.1734186	126.8041803	0.5836372614184897
49	스타벅스 일산풍동DT점	숲속마을두산위브2단지아파트	경기 고양시 일산동구 숲속마을1로 55	2006.07	888.0	"매매가32,000 - 36,500 (만원)
전세가28,500 - 32,000 (만원)"	37.6659658	126.7986768	37.6621092	126.8009513	0.47275335587235645
50	스타벅스 청주봉명DT점	초원아파트	충북 청주시 흥덕구 백봉로224번길 21	1992.12	232.0	"매매가8,200 - 9,000 (만원)
전세가6,500 - 7,500 (만원)"	36.6481199	127.4608256	36.6385174	127.4598377	1.0692545404949827
51	스타벅스 동해DT점	동해천곡주공2차아파트	강원 동해시 한섬로 87	1984.11	150.0	"매매가6,000 - 10,500 (만원)
전세가3,100 - 5,100 (만원)"	37.52097670000001	129.1131408	37.5201864	129.1147727	0.1688345920228069
52	스타벅스 대구월곡DT점	상인영남화성타운아파트	대구 달서구 상인서로 76	1993.07	758.0	"매매가18,500 - 38,500 (만원)
전세가16,000 - 31,500 (만원)"	35.8173008	128.5429645	35.8148659	128.5410568	0.32048807149624964
53	스타벅스 계룡대로DT점	엄사성원아파트	충남 계룡시 엄사면 엄사중앙로 66	1997.11	1850.0	"매매가7,000 - 8,500 (만원)
전세가6,000 - 7,000 (만원)"	36.2862963	127.2421624	36.2883806	127.2443977	0.306294234260787
54	스타벅스 전주덕진광장DT점	거성대학촌아파트	전북 전주시 덕진구 명륜4길 16	1983.08	60.0	매매 1 전세 1	35.8427056	127.1272879	35.8428779	127.1242053	0.2791445917933629
55	스타벅스 역곡역DT점	역곡역e편한세상아파트	경기 부천시 역곡로19번길 26	2011.08	445.0	"매매가50,000 - 86,000 (만원)
전세가38,000 - 52,000 (만원)"	37.4868971	126.8082001	37.4834833	126.8092991	0.3911555296455786
56	스타벅스 을숙도강변DT점	하단동SKVIEW아파트	부산 사하구 하신번영로 400	2004.05	1828.0	"매매가22,500 - 49,000 (만원)
전세가17,000 - 35,000 (만원)"	35.1177263	128.96164620000002	35.1152603	128.9595779	0.33226072452369737
57	스타벅스 평택안중DT점	이화마을건영캐스빌아파트	경기 평택시 안중읍 안현로서9길 164-9	2005.04	744.0	"매매가15,000 - 18,500 (만원)
전세가13,000 - 15,500 (만원)"	36.9877084	126.9173185	36.9908158	126.9134157	0.4895298457674973
58	스타벅스 금정남산동DT점	선경1차아파트	부산 금정구 구서중앙로 20	1985.11	616.0	"매매가35,000 - 51,500 (만원)
전세가19,000 - 29,500 (만원)"	35.25559910000001	129.0894428	35.2644337	129.0926098	1.0216476236420746
59	스타벅스 대구감삼DT점	대우월드마크웨스트엔드	대구 달서구 와룡로 169	2010.08	994.0	"매매가66,500 - 109,000 (만원)
전세가45,000 - 70,000 (만원)"	35.848291	128.53592659999998	35.8443842	128.5366553	0.4384535010440419
60	스타벅스 종암DT점	극동아파트	서울 성북구 북악산로29길 67	2000.12	297.0	"매매가47,500 - 69,000 (만원)
전세가30,000 - 44,500 (만원)"	37.5952054	127.0339666	37.5919525	127.0360401	0.40482088154511087
61	스타벅스 춘천후평DT점	춘천더샵아파트	강원 춘천시 후석로 325	2008.06	1792.0	"매매가17,500 - 36,000 (만원)
전세가14,000 - 27,500 (만원)"	37.8798243	127.7478895	37.8792637	127.7507526	0.259455660905222
62	스타벅스 대전IC DT점	비래한신휴플러스아파트	대전 대덕구 비래서로10번길 21	2006.06	646.0	"매매가18,500 - 34,500 (만원)
전세가14,000 - 22,500 (만원)"	36.3545958	127.4462912	36.3542137	127.4445324	0.1634620635513875
63	스타벅스 양주덕정역DT점	봉우마을주공5단지아파트	경기 양주시 고암길 354	2000.08	1732.0	"매매가13,000 - 16,800 (만원)
전세가9,500 - 12,500 (만원)"	37.83595250000001	127.06541740000002	37.838197	127.0630407	0.32531973989137414
64	스타벅스 광주매곡DT점	용봉주공아파트	광주 북구 매곡로 20				35.18668560000001	126.896046	35.1898357	126.8986979	0.42482583089311754
65	스타벅스 충남보령DT점	금성백조예미지2차아파트	충남 보령시 명천동 산38-9	2019.11	517.0	매매 5 월세 1	36.3365866	126.6065578	36.3408254	126.5893248	1.6170395112091205
66	스타벅스 김해구산DT점	한일유엔아이아파트	경남 김해시 구산로5번길 89	2004.06	1308.0	"매매가14,000 - 16,500 (만원)
전세가11,000 - 13,000 (만원)"	35.256646	128.8680669	35.2553715	128.8664291	0.20544629906390532
67	스타벅스 청주용담DT점	우미린에듀파크2단지아파트	충북 청주시 상당구 수영로 359	2018.02	901.0	"매매가27,000 - 46,500 (만원)
전세가21,000 - 33,000 (만원)"	36.6335194	127.5122466	36.6342108	127.505078	0.645710046473395
68	스타벅스 진주칠암DT점	주약현대I아파트	경남 진주시 진주대로815번길 11	2000.11	835.0	"매매가14,000 - 31,800 (만원)
전세가12,500 - 26,000 (만원)"	35.171854	128.0932222	35.174793	128.092816	0.3281565811667557
69	스타벅스 의정부녹양DT점	힐스테이트녹양역	경기 의정부시 가금로34번길 23	2018.11	758.0	"매매가30,000 - 48,000 (만원)
전세가24,000 - 35,000 (만원)"	37.7545997	127.0435819	37.7584788	127.0402351	0.5218753861698068
70	스타벅스 북수원IC DT점	수원SK스카이뷰아파트	경기 수원시 장안구 이목로 24	2013.05	3498.0	"매매가52,000 - 85,000 (만원)
전세가34,000 - 55,000 (만원)"	37.3109011	126.986679	37.3079558	126.998326	1.0830107559870017
71	스타벅스 광주선운DT점	선운이지더원2단지아파트	광주 광산구 선운중앙로 43	2014.07	378.0	"매매가27,000 - 36,000 (만원)
전세가20,000 - 26,000 (만원)"	35.1494342	126.7750254	35.20323	126.818724	7.173967962892407
72	스타벅스 평촌역DT점	인덕원푸르지오엘센트로	경기 의왕시 안양판교로 100	2019.11	1774.0	"매매가101,500 - 123,500 (만원)
전세가59,000 - 80,000 (만원)"	37.39201729999999	127.0002808	37.3965683	126.9716158	2.5880504922499665
73	스타벅스 광주운암DT점	운암주공3단지아파트	광주 북구 북문대로98번길 10	1984.11	2020.0	"매매가20,500 - 38,500 (만원)
전세가2,500 - 7,000 (만원)"	35.179233399999994	126.8789148	35.1776306	126.8784132	0.18359700213012486
74	스타벅스 풍무역DT점	김포풍무꿈에그린유로메트로1단지아파트	경기 김포시 풍무로68번길 39	2014.05	965.0	"매매가36,000 - 46,500 (만원)
전세가27,000 - 35,000 (만원)"	37.6053777	126.7229124	37.6103332	126.7374313	1.394994131059421
75	스타벅스 익산영등DT점	제일타운아파트	전북 익산시 고봉로30길 13	1995.04	900.0	"매매가12,000 - 30,000 (만원)
전세가11,500 - 23,000 (만원)"	35.9567214	126.971962	35.9593431	126.9688995	0.40118428857664923
76	스타벅스 광주수완DT점	수완코오롱하늘채아파트	광주 광산구 장덕로137번길 39	2008.12	753.0	"매매가50,500 - 89,500 (만원)
전세가32,000 - 50,000 (만원)"	35.19935	126.8224749	35.2031746	126.8190648	0.5258126114277341
77	스타벅스 기장역DT점	한신그린코아아파트	부산 기장군 기장읍 차성로344번길 13	1995.05	1131.0	"매매가12,500 - 28,500 (만원)
전세가9,000 - 17,500 (만원)"	35.2487727	129.2153662	35.2421513	129.220117	0.8524188293461747
78	스타벅스 대구두류DT점	세신아파트	대구 서구 달구벌대로361길 9	1981.04	41.0	매매 1 월세 7	35.8601761	128.56133549999998	35.8588586	128.5612941	0.14623287325482023
79	스타벅스 대구앞산DT점	동신점보맨션아파트	대구 남구 대명로 177	1979.08	201.0	"매매가14,500 - 19,700 (만원)
전세가11,000 - 15,000 (만원)"	35.8394338	128.57717340000002	35.8356394	128.579943	0.48976007307955294
80	스타벅스 사상주례DT점	주례한일유앤아이아파트	부산 사상구 백양대로 372-15	2005.02	988.0	"매매가18,500 - 43,000 (만원)
전세가17,000 - 32,000 (만원)"	35.15406780000001	129.0098723	35.1548839	128.9962191	1.2473191739895277
81	스타벅스 하남미사DT점	미사강변센트럴자이아파트	경기 하남시 미사강변대로 95	2017.02	1222.0	"매매가97,000 - 125,000 (만원)
전세가52,000 - 64,000 (만원)"	37.5574402	127.1859211	37.5675503	127.1892407	1.159798748966775
82	스타벅스 경기광주쌍령DT점	광주센트럴푸르지오아파트	경기 광주시 경충대로1461번길 43	2018.04	1425.0	"매매가36,500 - 47,500 (만원)
전세가21,000 - 28,500 (만원)"	37.3982139	127.2715036	37.3987506	127.2733178	0.1713264721977146
83	스타벅스 울산남구청DT점	울산신정동신정지웰	울산 남구 월평로171번길 26	2018.07	200.0	"매매가33,000 - 36,000 (만원)
전세가25,000 - 28,000 (만원)"	35.5453746	129.32388079999998	35.5441545	129.3245996	0.1502454621991522
84	스타벅스 대구만촌DT점	만촌3차화성파크드림아파트	대구 수성구 교학로 13				35.853464	128.6530125	35.8563651	128.6502429	0.4076807909552385
85	스타벅스 신영통DT점	신영통현대1단지아파트	경기 화성시 영통로61번길 10	2001.1	896.0	"매매가29,000 - 42,000 (만원)
전세가20,000 - 28,000 (만원)"	37.2341386	127.0596908	37.2343091	127.063002	0.2944375943758944
86	스타벅스 낙성대DT점	동아타운아파트	서울 관악구 봉천로 576	1999.1	121.0	"매매가23,500 - 72,000 (만원)
전세가16,000 - 53,500 (만원)"	37.47690220000001	126.9612462	37.4761693	126.9650053	0.3423090548533544
87	스타벅스 대구수성네거리DT점	롬바드아파트	대구 수성구 들안로 325	2011.07	108.0	"매매가61,000 - 92,000 (만원)
전세가41,500 - 67,000 (만원)"	35.8590018	128.61683689999998	35.8604584	128.6180418	0.19484548574972851
88	스타벅스 영등포신길DT점	래미안프레비뉴아파트	서울 영등포구 가마산로 442	2015.12	949.0	"매매가97,000 - 145,000 (만원)
전세가44,000 - 70,000 (만원)"	37.503544700000006	126.9065597	37.5045573	126.9100739	0.3304275150320055
89	스타벅스 여주DT점	여주점봉부영아파트	경기 여주시 세종로 394-10	2000.1	810.0	"매매가7,500 - 12,000 (만원)
전세가6,500 - 9,500 (만원)"	37.2639745	127.6383788	37.266224	127.638154	0.25045044796018023
90	스타벅스 구미시청DT점	상산에이스타운	경북 구미시 신시로14길 10	2002.09	19.0	매매 1	36.1156074	128.34021840000003	36.1176314	128.3416068	0.2570277685723551
91	스타벅스 일산덕이DT점	일산위브더제니스	경기 고양시 일산서구 일현로 97-11	2013.04	2700.0	"매매가38,000 - 81,000 (만원)
전세가32,000 - 55,000 (만원)"	37.69379	126.7624419	37.6917933	126.7565987	0.5609859632471315
92	스타벅스 원주명륜DT점	개운한신휴플러스1차아파트	강원 원주시 서원대로 389	2006.12	762.0	"매매가16,500 - 26,700 (만원)
전세가12,500 - 21,000 (만원)"	37.3320693	127.9503406	37.335916	127.9499284	0.42848178708450707
93	스타벅스 인천당하DT점	당하풍림아이원3차아파트	인천 서구 원당대로685번길 31	2004.1	579.0	"매매가20,000 - 29,000 (만원)
전세가18,000 - 24,000 (만원)"	37.5957674	126.6759307	37.593359	126.675556	0.26934595099346603
94	스타벅스 청주사직DT점	청주사직두산위브더제니스아파트	충북 청주시 서원구 사운로 93	2009.07	576.0	"매매가26,000 - 40,000 (만원)
전세가22,500 - 31,000 (만원)"	36.6390096	127.4767676	36.6358593	127.48118	0.5271933823106622
95	스타벅스 수원연무DT점	우만주공4단지아파트	경기 수원시 팔달구 창룡대로 194	1992.03	1152.0	"매매가18,500 - 30,000 (만원)
전세가8,500 - 14,000 (만원)"	37.291197	127.03061540000002	37.2921664	127.0287308	0.19874657721849331
96	스타벅스 김포풍무DT점	김포풍무꿈에그린유로메트로1단지아파트	경기 김포시 풍무로68번길 39	2014.05	965.0	"매매가36,000 - 46,500 (만원)
전세가27,000 - 35,000 (만원)"	37.6053777	126.7229124	37.599827	126.7204152	0.654342508045047
97	스타벅스 김천시청DT점	신음현대1차아파트	경북 김천시 시청로 46	1996.12	959.0	"매매가6,500 - 19,000 (만원)
전세가5,800 - 15,800 (만원)"	36.1334789	128.1186996	36.1325039	128.1175904	0.14721691664455988
98	스타벅스 포항죽도DT점	포항자이아파트	경북 포항시 남구 상도남로 11	2018.09	1567.0	"매매가31,000 - 73,000 (만원)
전세가26,000 - 47,250 (만원)"	36.00926010000001	129.3423947	36.0184362	129.3480514	1.1387340739321496
99	스타벅스 과천DT점	과천주공8단지아파트	경기 과천시 부림로 2	1983.08	1400.0	"매매가120,000 - 145,000 (만원)
전세가50,000 - 55,000 (만원)"	37.43585770000001	126.9990703	37.4392667	126.9938019	0.6004471173203437
100	스타벅스 대구상동DT점	수성동일하이빌레이크시티아파트	대구 수성구 수성로 71	2009.04	1411.0	"매매가62,000 - 122,000 (만원)
전세가41,500 - 80,000 (만원)"	35.83129520000001	128.609427	35.8296424	128.6116932	0.2748817238417542
101	스타벅스 부산재송DT점	더샵센텀파크1단지아파트	부산 해운대구 센텀중앙로 145	2005.1	2752.0	"매매가61,000 - 151,000 (만원)
전세가36,000 - 74,500 (만원)"	35.1783761	129.1219704	35.181271	129.1240501	0.37287661525027704
102	스타벅스 천안서부대로DT점	광명장미아파트	충남 천안시 서북구 미라2길 19	1993.11	990.0	"매매가10,500 - 22,000 (만원)
전세가9,500 - 18,500 (만원)"	36.8015412	127.128244	36.8035728	127.12718	0.24463407255256708
103	스타벅스 강동암사DT점	삼성광나루아파트	서울 강동구 상암로3길 77	2002.11	490.0	"매매가69,000 - 110,000 (만원)
전세가40,500 - 63,000 (만원)"	37.55410579999999	127.1271601	37.55504	127.1300647	0.27680608864905953
104	스타벅스 이천사음DT점	이천현진에버빌2차아파트	경기 이천시 경충대로2996번길 16	2006.04	137.0	"매매가18,000 - 22,000 (만원)
전세가14,500 - 18,000 (만원)"	37.2967349	127.4120479	37.2991064	127.4078413	0.45648610918904725
105	스타벅스 천안두정역DT점	두정대우1차아파트	충남 천안시 서북구 봉정로 365	1996.12	1038.0	"매매가9,600 - 18,000 (만원)
전세가8,200 - 17,000 (만원)"	36.8344013	127.1445216	36.8328657	127.1461575	0.22435734870531496
106	스타벅스 안양운동장사거리DT점	달안동샛별한양2단지아파트	경기 안양시 동안구 학의로 98	1993.04	844.0	"매매가25,500 - 67,000 (만원)
전세가15,500 - 40,500 (만원)"	37.3982862	126.9504418	37.40111	126.9492085	0.33187993203626065
107	스타벅스 대전신탄진DT점	대전풍림금강엑슬루타워아파트	대전 대덕구 대덕대로 1555	2012.01	2312.0	"매매가23,000 - 42,000 (만원)
전세가18,000 - 26,000 (만원)"	36.45134820000001	127.4197098	36.4486603	127.4199831	0.29927378866144466
108	스타벅스 수원세류DT점	대한대우푸르지오아파트	경기 수원시 팔달구 권선로 477	1999.12	1293.0	"매매가35,000 - 60,000 (만원)
전세가22,000 - 33,000 (만원)"	37.265018	127.0047858	37.262829	127.0112092	0.619406347920203
109	스타벅스 일산애니골DT점	숲속마을에버나인10단지아파트	경기 고양시 일산동구 숲속마을2로 25				37.6730204	126.7954741	37.6745369	126.7931915	0.2624517461174176
110	스타벅스 포항쌍용DT점	상도풀리스아파트	경북 포항시 남구 중흥로114번길 7-5				36.0146794	129.3528872	36.015594	129.353048	0.10251337985638294
111	스타벅스 경기광주신현DT점	e편한세상태재1단지아파트	경기 광주시 오포읍 태재로 20-15	2018.07	480.0	"매매가44,000 - 61,000 (만원)
전세가35,000 - 47,000 (만원)"	37.3582191	127.1498937	37.3598852	127.1530391	0.33442623429301915
112	스타벅스 목포북항DT점	산정현대아파트	전남 목포시 죽산로40번길 24	1991.12	530.0	"매매가8,500 - 10,500 (만원)
전세가7,200 - 9,500 (만원)"	34.8112346	126.3782933	34.8086337	126.3732658	0.5430123175163974
